order_id,timestamp,region,platform,product_line,user_segment,gmv_band,sku,customer_id,gross_revenue,cogs,shipping,platform_fee,return_amount,net_profit,touchpoint_ids,conversion_path
ORD-1001,2026-05-10T12:51:00Z,eu,shopify_eu,bottle_brush,crunchy_mom_2nd_baby,$0-50,MOMCOZY-BRUSH-01,CUST-503,18.43,3.5,18.0,0.83,0.0,-3.9,impression:tiktok_ads:cmp_tt_eu_01;click:tiktok_ads:cmp_tt_eu_01;visit:shopify_eu:direct,impression:tiktok_ads:cmp_tt_eu_01>click:tiktok_ads:cmp_tt_eu_01>visit:shopify_eu:direct>purchase
ORD-1002,2026-05-10T11:45:00Z,us,shopify_us,uvc_cabinet,crunchy_mom_2nd_baby,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-505,268.0,38.0,0,8.07,0.0,221.93,impression:meta_ads:cmp_meta_us_01;click:meta_ads:cmp_meta_us_01;visit:shopify_us:direct,impression:meta_ads:cmp_meta_us_01>click:meta_ads:cmp_meta_us_01>visit:shopify_us:direct>purchase
ORD-1003,2026-05-07T12:29:00Z,eu,shopify_eu,uvc_cabinet,gift_buyer,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-524,278.07,38.0,0,8.36,0.0,231.71,visit:shopify_eu:direct,visit:shopify_eu:direct>purchase
ORD-1004,2026-05-11T18:04:00Z,us,shopify_us,steam_warmer,new_parent_premium,$150-500,MOMCOZY-KLEANPAL-PRO,CUST-511,223.48,42.0,0,6.78,0.0,174.7,impression:meta_ads:cmp_meta_us_03;click:meta_ads:cmp_meta_us_03;visit:shopify_us:direct,impression:meta_ads:cmp_meta_us_03>click:meta_ads:cmp_meta_us_03>visit:shopify_us:direct>purchase
ORD-1005,2026-05-06T21:49:00Z,us,shopify_us,uvc_cabinet,crunchy_mom_2nd_baby,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-504,252.54,38.0,0,7.62,0.0,206.92,impression:meta_ads:cmp_meta_us_03;click:meta_ads:cmp_meta_us_03;visit:shopify_us:direct,impression:meta_ads:cmp_meta_us_03>click:meta_ads:cmp_meta_us_03>visit:shopify_us:direct>purchase
ORD-1006,2026-05-15T19:20:00Z,us,shopify_us,bottle_brush,new_parent_premium,$0-50,MOMCOZY-BRUSH-01,CUST-514,16.75,3.5,12.0,0.79,0.0,0.46,impression:tiktok_ads:cmp_tt_us_01;click:tiktok_ads:cmp_tt_us_01;visit:shopify_us:direct,impression:tiktok_ads:cmp_tt_us_01>click:tiktok_ads:cmp_tt_us_01>visit:shopify_us:direct>purchase
ORD-1007,2026-05-04T19:35:00Z,eu,shopify_eu,bottle_brush,new_parent_premium,$0-50,MOMCOZY-BRUSH-01,CUST-517,17.14,3.5,18.0,0.8,0.0,-5.16,impression:meta_ads:cmp_meta_eu_02;click:meta_ads:cmp_meta_eu_02;visit:shopify_eu:direct,impression:meta_ads:cmp_meta_eu_02>click:meta_ads:cmp_meta_eu_02>visit:shopify_eu:direct>purchase
ORD-1008,2026-05-02T20:03:00Z,us,shopify_us,uvc_cabinet,crunchy_mom_2nd_baby,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-508,262.64,38.0,0,7.92,0.0,216.72,impression:tiktok_ads:cmp_tt_us_02;click:tiktok_ads:cmp_tt_us_02;visit:shopify_us:direct,impression:tiktok_ads:cmp_tt_us_02>click:tiktok_ads:cmp_tt_us_02>visit:shopify_us:direct>purchase
ORD-1009,2026-05-10T15:33:00Z,eu,shopify_eu,wipes_natural,new_parent_premium,$0-50,MOMCOZY-WIPES-NAT,CUST-517,29.63,5.2,18.0,1.16,14.81,-9.54,visit:shopify_eu:direct,visit:shopify_eu:direct>purchase
ORD-1010,2026-05-11T22:34:00Z,us,shopify_us,bottle_brush,new_parent_premium,$0-50,MOMCOZY-BRUSH-01,CUST-518,16.08,3.5,12.0,0.77,0.0,-0.19,impression:meta_ads:cmp_meta_us_03;click:meta_ads:cmp_meta_us_03;visit:shopify_us:direct,impression:meta_ads:cmp_meta_us_03>click:meta_ads:cmp_meta_us_03>visit:shopify_us:direct>purchase
ORD-1011,2026-05-15T19:16:00Z,eu,shopify_eu,bottle_brush,new_visitor,$0-50,MOMCOZY-BRUSH-01,CUST-533,18.09,3.5,18.0,0.82,0.0,-4.23,visit:shopify_eu:direct,visit:shopify_eu:direct>purchase
ORD-1012,2026-05-14T18:32:00Z,us,shopify_us,uvc_cabinet,new_parent_premium,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-513,310.24,38.0,0,9.3,0.0,262.94,visit:shopify_us:direct,visit:shopify_us:direct>purchase
ORD-1013,2026-05-09T22:00:00Z,us,shopify_us,steam_warmer,gift_buyer,$150-500,MOMCOZY-KLEANPAL-PRO,CUST-521,210.19,42.0,0,6.4,0.0,161.79,visit:shopify_us:direct,visit:shopify_us:direct>purchase
ORD-1014,2026-05-13T12:15:00Z,us,shopify_us,uvc_cabinet,crunchy_mom_2nd_baby,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-504,294.82,38.0,0,8.85,147.41,100.56,visit:shopify_us:direct,visit:shopify_us:direct>purchase
ORD-1015,2026-05-14T09:48:00Z,eu,shopify_eu,uvc_cabinet,crunchy_mom_2nd_baby,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-509,287.55,38.0,0,8.64,0.0,240.91,impression:tiktok_ads:cmp_tt_eu_01;click:tiktok_ads:cmp_tt_eu_01;visit:shopify_eu:direct,impression:tiktok_ads:cmp_tt_eu_01>click:tiktok_ads:cmp_tt_eu_01>visit:shopify_eu:direct>purchase
ORD-1016,2026-05-15T16:48:00Z,us,shopify_us,bottle_brush,new_parent_premium,$0-50,MOMCOZY-BRUSH-01,CUST-513,16.79,3.5,12.0,0.79,0.0,0.5,impression:tiktok_ads:cmp_tt_us_01;click:tiktok_ads:cmp_tt_us_01;visit:shopify_us:direct,impression:tiktok_ads:cmp_tt_us_01>click:tiktok_ads:cmp_tt_us_01>visit:shopify_us:direct>purchase
ORD-1017,2026-05-04T11:04:00Z,us,shopify_us,uvc_cabinet,gift_buyer,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-522,293.76,38.0,0,8.82,0.0,246.94,impression:meta_ads:cmp_meta_us_01;click:meta_ads:cmp_meta_us_01;visit:shopify_us:direct,impression:meta_ads:cmp_meta_us_01>click:meta_ads:cmp_meta_us_01>visit:shopify_us:direct>purchase
ORD-1018,2026-05-02T22:02:00Z,us,shopify_us,uvc_cabinet,gift_buyer,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-522,268.8,38.0,0,8.1,0.0,222.7,impression:meta_ads:cmp_meta_us_03;click:meta_ads:cmp_meta_us_03;visit:shopify_us:direct,impression:meta_ads:cmp_meta_us_03>click:meta_ads:cmp_meta_us_03>visit:shopify_us:direct>purchase
ORD-1019,2026-05-15T22:36:00Z,eu,shopify_eu,uvc_cabinet,new_visitor,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-531,287.36,38.0,0,8.63,0.0,240.73,impression:tiktok_ads:cmp_tt_eu_01;click:tiktok_ads:cmp_tt_eu_01;visit:shopify_eu:direct,impression:tiktok_ads:cmp_tt_eu_01>click:tiktok_ads:cmp_tt_eu_01>visit:shopify_eu:direct>purchase
ORD-1020,2026-05-07T14:29:00Z,us,shopify_us,bottle_brush,crunchy_mom_2nd_baby,$0-50,MOMCOZY-BRUSH-01,CUST-504,23.81,3.5,12.0,0.99,0.0,7.32,impression:tiktok_ads:cmp_tt_us_01;click:tiktok_ads:cmp_tt_us_01;visit:shopify_us:direct,impression:tiktok_ads:cmp_tt_us_01>click:tiktok_ads:cmp_tt_us_01>visit:shopify_us:direct>purchase
ORD-1021,2026-05-04T11:12:00Z,us,shopify_us,uvc_cabinet,repeat_buyer,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-529,264.5,38.0,0,7.97,0.0,218.53,visit:shopify_us:direct,visit:shopify_us:direct>purchase
ORD-1022,2026-05-02T15:51:00Z,us,shopify_us,uvc_cabinet,crunchy_mom_2nd_baby,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-507,328.94,38.0,0,9.84,0.0,281.1,visit:shopify_us:direct,visit:shopify_us:direct>purchase
ORD-1023,2026-05-15T20:54:00Z,us,shopify_us,uvc_cabinet,new_parent_premium,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-516,288.37,38.0,0,8.66,0.0,241.71,impression:meta_ads:cmp_meta_us_01;click:meta_ads:cmp_meta_us_01;visit:shopify_us:direct,impression:meta_ads:cmp_meta_us_01>click:meta_ads:cmp_meta_us_01>visit:shopify_us:direct>purchase
ORD-1024,2026-05-07T08:24:00Z,eu,shopify_eu,wipes_natural,new_parent_premium,$0-50,MOMCOZY-WIPES-NAT,CUST-517,28.35,5.2,18.0,1.12,0.0,4.03,visit:shopify_eu:direct,visit:shopify_eu:direct>purchase
ORD-1025,2026-05-12T20:35:00Z,us,shopify_us,uvc_cabinet,new_visitor,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-532,273.44,38.0,0,8.23,0.0,227.21,impression:meta_ads:cmp_meta_us_03;click:meta_ads:cmp_meta_us_03;visit:shopify_us:direct,impression:meta_ads:cmp_meta_us_03>click:meta_ads:cmp_meta_us_03>visit:shopify_us:direct>purchase
ORD-1026,2026-05-06T08:03:00Z,eu,shopify_eu,steam_warmer,new_visitor,$150-500,MOMCOZY-KLEANPAL-PRO,CUST-531,284.27,42.0,0,8.54,0.0,233.73,visit:shopify_eu:direct,visit:shopify_eu:direct>purchase
ORD-1027,2026-05-02T21:11:00Z,us,shopify_us,steam_warmer,crunchy_mom_2nd_baby,$150-500,MOMCOZY-KLEANPAL-PRO,CUST-505,266.52,42.0,0,8.03,0.0,216.49,impression:meta_ads:cmp_meta_us_03;click:meta_ads:cmp_meta_us_03;visit:shopify_us:direct,impression:meta_ads:cmp_meta_us_03>click:meta_ads:cmp_meta_us_03>visit:shopify_us:direct>purchase
ORD-1028,2026-05-10T08:39:00Z,us,shopify_us,uvc_cabinet,crunchy_mom_2nd_baby,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-506,296.11,38.0,0,8.89,0.0,249.22,visit:shopify_us:direct,visit:shopify_us:direct>purchase
ORD-1029,2026-05-04T18:45:00Z,us,shopify_us,uvc_cabinet,gift_buyer,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-521,281.27,38.0,0,8.46,0.0,234.81,impression:tiktok_ads:cmp_tt_us_01;click:tiktok_ads:cmp_tt_us_01;visit:shopify_us:direct,impression:tiktok_ads:cmp_tt_us_01>click:tiktok_ads:cmp_tt_us_01>visit:shopify_us:direct>purchase
ORD-1030,2026-05-01T15:39:00Z,us,shopify_us,uvc_cabinet,crunchy_mom_2nd_baby,$150-500,MOMCOZY-KLEANPAL-AIR,CUST-507,266.84,38.0,0,8.04,0.0,220.8,visit:shopify_us:direct,visit:shopify_us:direct>purchase
